Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",10.107000,-63.410000,180.000000,bottom
"D1","1N4148W","D_SOD-123",6.300000,-7.150000,-90.000000,bottom
"D2","1N4148W","D_SOD-123",25.300000,-7.150000,-90.000000,bottom
"D3","1N4148W","D_SOD-123",44.300000,-7.150000,-90.000000,bottom
"D4","1N4148W","D_SOD-123",77.300000,-9.500000,-90.000000,bottom
"D5","1N4148W","D_SOD-123",78.500000,-4.600000,0.000000,bottom
"D6","1N4148W","D_SOD-123",14.300000,-26.150000,-90.000000,bottom
"D7","1N4148W","D_SOD-123",33.300000,-26.150000,-90.000000,bottom
"D8","1N4148W","D_SOD-123",52.300000,-26.150000,-90.000000,bottom
"D9","1N4148W","D_SOD-123",71.300000,-26.000000,-90.000000,bottom
"D10","1N4148W","D_SOD-123",8.300000,-42.000000,180.000000,bottom
"D11","1N4148W","D_SOD-123",22.300000,-45.150000,-90.000000,bottom
"D12","1N4148W","D_SOD-123",41.300000,-45.150000,-90.000000,bottom
"D13","1N4148W","D_SOD-123",60.300000,-45.150000,-90.000000,bottom
"D14","1N4148W","D_SOD-123",79.300000,-45.150000,-90.000000,bottom
"D15","1N4148W","D_SOD-123",58.550000,-63.000000,90.000000,bottom
"D16","1N4148W","D_SOD-123",87.300000,-63.000000,90.000000,bottom
"J1","TSW-112-06-T-S","PinHeader_1x12_P2.54mm_Vertical",90.680000,-1.360000,90.000000,bottom
"J2","TSW-112-06-T-S","PinHeader_1x12_P2.54mm_Vertical",90.680000,-16.600000,90.000000,bottom
"J4","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",60.200000,-16.600000,0.000000,bottom
"SW17","PCM13SMTR","SWITCH_3SMTR",46.299999,-3.648000,0.000000,bottom
"U2","~","SK6812-MINI-E",8.300000,-66.000000,180.000000,bottom
